Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,34.97101326,35.206155,30.52654237,29.333929,28.40679365,22.48622609,26.09388785,25.28960114,30.76253595,32.63061505,30.20369881,33.07868957,31.58017926,26.67695125,27.92976085,..
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.900484814,10.44181199,6.020745375,-1.85578803,-1.342930722,..
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,34.27722371,53.54830435,42.01509474,48.40937863,72.43075753,133.4889356,219.883929,..
Australia,AUS,Trade (% of GDP),NE.TRD.GNFS.ZS,40.39050709,41.72198601,43.01984955,41.10051188,42.29930954,41.49475069,40.81340222,42.03541353,43.57322536,46.00168271,44.4995641,40.20223594,45.69464188,49.04433932,47.14538111,..
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.210047953,2.394734943,3.952471381,2.654453026,2.601189782,2.164347806,2.755640655,2.293310302,2.874170395,2.194017036,-0.133531904,2.006948443,4.253045592,3.583821008,1.373407734,..
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.918337021,3.303847847,1.762782991,2.449882481,2.487929321,1.508368031,1.276993657,1.948643091,1.911400028,1.610770929,0.846900735,2.863912847,6.594096587,5.597017923,3.166566654,..
Belgium,BEL,Trade (% of GDP),NE.TRD.GNFS.ZS,150.1625636,160.7655169,160.3833014,157.5736228,158.571611,155.068682,159.0576966,166.9040782,168.2776929,165.4654789,156.9501213,177.3818924,191.1790313,165.8469465,158.9318263,..
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.710311503,1.931155024,0.215803612,0.305494549,1.765540381,1.474164337,1.19350273,1.474467616,1.877968474,2.442890045,-4.792983908,6.254456865,3.956237976,1.714121955,1.07045413,..
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.189299204,3.532082107,2.839663434,1.11309594,0.340002833,0.561429153,1.973852647,2.12597086,2.053164999,1.43681957,0.740791812,2.440248511,9.597511729,4.049010776,3.143491365,..
Brazil,BRA,Trade (% of GDP),NE.TRD.GNFS.ZS,22.77217811,23.93440518,25.11427361,25.78595733,24.68540581,26.95362594,24.53368208,24.31973437,28.87620338,28.89025787,32.30207854,37.65633076,38.81606598,33.66622983,35.58452394,..
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.528225818,3.974423079,1.921175985,3.00482267,0.50395574,-3.545763393,-3.275916906,1.322869054,1.783666761,1.220777823,-3.276758796,4.76260438,3.016694354,3.241655328,3.419315166,..
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.038726901,6.636449622,5.40349914,6.204310666,6.329040155,9.029901024,8.739143523,3.44637335,3.664850284,3.732976212,3.211768038,8.301659756,9.28010609,4.593562823,4.367464077,..
Canada,CAN,Trade (% of GDP),NE.TRD.GNFS.ZS,60.2081215,62.49873877,62.59554894,62.2310749,64.37866216,66.16490207,65.36368452,65.10106085,66.59988585,66.17148528,61.15677096,62.24683672,67.31762156,66.63233134,65.14992127,..
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.090806345,3.137194422,1.755661291,2.325813548,2.873466778,0.649971002,1.038550925,3.033834912,2.742963449,1.908431946,-5.038233435,5.950528028,4.189036281,1.528745508,1.55479521,..
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.776871541,2.912135089,1.515678231,0.938291898,1.906635907,1.125241361,1.428759547,1.596884129,2.268225672,1.949269024,0.716999632,3.395193185,6.802801153,3.879001598,2.381583833,..
Chile,CHL,Trade (% of GDP),NE.TRD.GNFS.ZS,69.71768014,72.48164281,68.15614289,65.14328795,65.63462812,59.34911048,56.05786109,56.02615897,58.17705063,57.61175457,58.18286356,64.87740632,75.20161774,60.72472369,63.85985725,..
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.851651022,6.223896785,6.155340019,3.308508247,1.792649471,2.1519425,1.753038749,1.357695373,3.990029478,0.634367534,-6.143474792,11.31492049,2.153993562,0.521367977,2.644311549,..
Chile,CHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.41071108,3.341216943,3.007448402,1.78955554,4.718675279,4.348773532,3.786193559,2.182718469,2.434889814,2.557544757,3.045490848,4.524568383,11.64386671,7.581682514,4.297638916,..
China,CHN,Trade (% of GDP),NE.TRD.GNFS.ZS,49.85407223,49.94582723,47.48021308,45.91604138,44.06845648,38.69718484,36.17717069,36.95085262,36.89438439,35.19942027,34.03895079,36.52069118,37.44071988,36.10519237,37.19842014,..
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.59627198,9.461335887,7.856174271,7.778724094,7.461900282,6.978780027,6.775555628,6.891266362,6.756718002,6.068502351,2.340188431,8.570085132,3.134188872,5.414843301,4.977356592,..
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.175324753,5.553898923,2.619524326,2.621050017,1.921641628,1.437023809,2.000001822,1.593136001,2.0747904,2.899234164,2.419421895,0.981015136,1.973575557,0.234836829,0.218128938,..
Colombia,COL,Trade (% of GDP),NE.TRD.GNFS.ZS,34.26460317,39.47042355,38.83515102,37.9866488,37.48746564,38.36076412,36.20265298,35.28291494,36.5347528,37.55853398,34.05557097,40.05914639,48.28265511,40.38813249,37.02546871,..
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.494658971,6.947891982,3.912635767,5.13399352,4.499030001,2.955901375,2.087382502,1.359360868,2.564324283,3.186855392,-7.185914138,10.80119819,7.328277294,0.712380032,1.598331537,..
Colombia,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.272002279,3.415033448,3.169301888,2.016992243,2.898837878,4.989831158,7.513460246,4.314313257,3.240569329,3.523019327,2.526635001,3.495057574,10.17723135,11.73590449,6.609085937,..
Denmark,DNK,Trade (% of GDP),NE.TRD.GNFS.ZS,94.38772823,102.0129305,104.3622805,103.6128132,103.2108592,105.1303625,101.4527838,104.2156769,108.8139855,111.8914751,104.4334327,112.3214727,131.9958249,129.6253374,131.765031,..
Denmark,DNK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.582897031,1.310803761,-0.005432302,1.392673432,1.277999832,2.104414564,3.073045492,3.056477239,1.86000749,1.711400939,-1.780106018,6.500254458,0.443832615,0.604587766,3.477835931,..
Denmark,DNK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.31092437,2.758682261,2.397914857,0.78907178,0.56402054,0.452034154,0.25,1.14713217,0.813609467,0.758131573,0.420711974,1.85304544,7.696566999,3.305178112,1.372200498,..
"Egypt, Arab Rep.",EGY,Trade (% of GDP),NE.TRD.GNFS.ZS,47.93635007,45.25563416,40.71176927,40.37303806,36.92018779,34.84594296,30.24654905,42.83213436,45.91101967,41.12401716,32.12625557,29.85697348,36.98310488,40.45040077,39.60075209,..
"Egypt, Arab Rep.",EGY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.147234858,1.764571949,2.226199799,2.185466054,2.91591188,4.372019078,4.346643456,4.181221,5.331108619,5.552093072,3.550164838,3.290646012,6.587845609,3.760280523,2.399169268,..
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,11.26518827,10.06492599,7.111729433,9.469719811,10.07021547,10.37049034,13.81360621,29.50660839,14.40146578,9.152799593,5.04493289,5.214049405,13.89566098,33.88477631,28.27058993,..
Finland,FIN,Trade (% of GDP),NE.TRD.GNFS.ZS,75.46120852,78.71594445,79.43037659,77.48517177,74.62777198,71.96182538,71.72221012,75.93878223,79.14361484,80.56415029,72.1845956,79.78927819,94.56253405,85.56339061,83.46010154,..
Finland,FIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.168287912,2.390394554,-1.52284013,-0.979741025,-0.478068425,0.466503766,2.571934149,3.303370036,1.192977597,1.349738457,-2.491036055,2.676346415,0.763041913,-0.93909346,0.416171965,..
Finland,FIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.184135232,3.416807543,2.808336226,1.478286157,1.041196212,-0.20792884,0.356684501,0.754015047,1.083820984,1.02409393,0.290554556,2.194574323,7.123507733,6.250643222,1.565689062,..
France,FRA,Trade (% of GDP),NE.TRD.GNFS.ZS,56.58755525,60.60563548,61.65895708,61.81923387,62.19926694,63.5046872,63.34275644,65.39584816,66.80226078,66.42897717,58.83889072,63.78848263,75.9630078,70.62614506,68.10818754,..
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.00032476,2.437576537,0.183835265,0.781756446,0.997832947,1.066754748,0.860031075,2.08361486,1.645908724,2.027446464,-7.440645899,6.882337834,2.716762642,1.439214944,1.190467983,..
France,FRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.531122704,2.111597952,1.954195316,0.863715498,0.507758823,0.037514381,0.183334861,1.032282751,1.850815083,1.108254923,0.476498853,1.64233141,5.222367484,4.878357265,1.999049423,..
Germany,DEU,Trade (% of GDP),NE.TRD.GNFS.ZS,73.88523512,78.4330029,79.33164957,77.58602886,76.84835163,77.75658157,76.00599022,77.45483947,79.12522605,79.07324272,72.93353271,79.91953486,88.78575421,81.96254838,79.09073059,..
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.134637785,3.757968845,0.463512037,0.396995584,2.180186022,1.663006023,2.222222163,2.797906721,1.135696046,0.977734697,-4.131914432,3.909999942,1.809258124,-0.869647579,-0.495851897,..
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.103810378,2.075172837,2.008488848,1.504723303,0.906794,0.514426137,0.491747008,1.509494851,1.732168798,1.445659769,0.144877926,3.066666667,6.872574386,5.946436677,2.256498143,..
Greece,GRC,Trade (% of GDP),NE.TRD.GNFS.ZS,50.9225182,56.29299579,62.39421174,62.95472722,66.43353645,65.27164546,63.65754909,70.88249674,79.23799086,80.59009495,70.29374646,88.01266545,108.1218432,92.47108829,89.77652794,..
Greece,GRC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-5.693741216,-9.876778753,-8.331134211,-2.272116999,0.792225061,-0.228301892,-0.031794768,1.473124727,2.064672079,2.277180653,-9.196231497,8.65449786,5.521985806,2.13591132,2.086574338,..
Greece,GRC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.712989078,3.329853234,1.501526962,-0.921269454,-1.312260964,-1.735888048,-0.825653978,1.12125452,0.625621413,0.253007522,-1.247983556,1.22382501,9.645259813,3.464801285,2.741018757,..
"Hong Kong SAR, China",HKG,Trade (% of GDP),NE.TRD.GNFS.ZS,404.7705609,421.8547066,430.5685304,442.6200191,425.9758717,389.4059493,371.7272318,376.7956667,376.8927735,353.7435211,350.679705,402.4596815,384.8811432,353.0075001,359.5067107,..
"Hong Kong SAR, China",HKG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.767688341,4.814706693,1.700306137,3.101523916,2.762426392,2.387779427,2.175428865,3.796111146,2.846951465,-1.672445993,-6.544804127,6.454444091,-3.683784145,3.223859961,2.504987585,..
"Hong Kong SAR, China",HKG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.292890886,5.30524893,4.053909509,4.337993421,4.42364532,2.990848193,2.409307439,1.493872439,2.40613432,2.883208538,0.250962021,1.568758344,1.881367072,2.096605112,1.729721191,..
Hungary,HUN,Trade (% of GDP),NE.TRD.GNFS.ZS,157.8389601,166.7543472,166.1756986,164.4760248,168.3583551,167.2907385,163.9719445,165.0328558,162.7008588,159.9255565,154.5270029,159.1875273,185.0002041,158.3857475,146.5045615,..
Hungary,HUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.067950682,1.916709166,-1.339484465,2.032169907,4.334353641,3.659816154,2.438641413,4.124183895,5.606138138,5.077184951,-4.3387254,7.222915808,4.152380578,-0.817107371,0.560117843,..
Hungary,HUN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.855557957,3.929920989,5.652145171,1.73319985,-0.227566271,-0.06164468,0.394769307,2.348242812,2.850247926,3.338586354,3.326743858,5.110965344,14.60814395,17.12496597,3.703703704,..
India,IND,Trade (% of GDP),NE.TRD.GNFS.ZS,49.2552065,55.62388001,55.79372173,53.84413195,48.92218575,41.92291387,40.08248571,40.74249695,43.61696933,39.90540353,37.75810533,45.42308878,50.07527015,44.99284229,44.64929351,..
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.497584702,5.241316199,5.456387552,6.386106401,7.410227605,7.996253786,8.256305502,6.795383419,6.453851345,3.871436941,-5.777724707,9.689592492,7.609364978,9.19075493,6.494765524,..
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,11.98938992,8.911793365,9.478996914,10.01787847,6.665656719,4.906973441,4.948216341,3.328173375,3.938826467,3.729505735,6.623436776,5.131407472,6.699034141,5.649143189,4.95303551,..
Indonesia,IDN,Trade (% of GDP),NE.TRD.GNFS.ZS,46.70127388,50.18001318,49.5828983,48.63737268,48.08017559,41.93764024,37.4213418,39.35549707,43.07430896,37.62777754,32.9721754,40.20475827,45.4646702,41.33628687,42.5726473,..
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.223854181,6.169784208,6.030050653,5.557263689,5.006668426,4.8763223,5.033069183,5.069785901,5.17429154,5.01928768,-2.065511829,3.702885628,5.307197227,5.049023318,5.030344694,..
Indonesia,IDN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.13420639,5.356048491,4.279514269,6.412494579,6.394928824,6.363120612,3.525804528,3.808798577,3.198347559,3.030584609,1.919835273,1.56007883,4.209464637,3.669386549,2.181512736,..
Israel,ISR,Trade (% of GDP),NE.TRD.GNFS.ZS,65.63307987,68.90943785,69.96502508,64.13405113,61.71335412,58.89797192,57.79903169,56.28011425,58.74375424,56.32534864,51.23667379,54.9016842,60.64485267,57.99032071,54.4520003,..
Israel,ISR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.534340339,5.518796214,2.447168367,4.085709186,3.775828432,2.237603175,4.459782719,4.346931167,4.003898622,3.710496328,-2.021615482,9.388374034,6.263263438,1.826520495,0.871968424,..
Israel,ISR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.702702703,3.488372093,1.675537158,1.589763474,0.467557252,-0.617342578,-0.535168196,0.24980784,0.80506038,0.81764594,-0.575254621,1.479654747,4.411627255,4.225226032,3.074808898,..
